Date,Close,High,Low,Open,Volume
,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
,,,,,
21-10-2020,78.70482635,80.15140069,77.76939696,77.9038789,60322000
22-10-2020,79.73057556,80.06603832,78.2825171,78.6556969,30512000
23-10-2020,81.03672028,81.09329205,79.99111551,80.14694345,30548000
26-10-2020,78.62046051,80.86797461,77.80115056,80.14444517,35826000
27-10-2020,79.34449768,79.49932608,78.25820767,78.85073087,25902000
28-10-2020,74.97353363,77.10790469,74.85840617,76.91933463,45174000
29-10-2020,77.26023865,78.84128725,75.2588583,75.28218062,55406000
30-10-2020,80.19953156,83.43558653,79.47798597,82.74679063,99878000
02-11-2020,80.60695648,82.29023716,80.10673064,80.56824749,44228000
03-11-2020,81.66594696,82.32794486,80.00102886,80.92653865,31432000
04-11-2020,86.63789368,87.83782698,84.51145855,84.63948899,71342000
05-11-2020,87.4641571,88.91916707,86.39870563,87.85867537,39758000
06-11-2020,87.32669067,87.76190181,86.18282936,86.91033427,28622000
09-11-2020,87.41054535,90.16324512,87.2184997,89.12559132,53440000
10-11-2020,86.23444366,87.30932243,85.16254076,85.83992542,43022000
11-11-2020,86.70637512,87.48399271,86.49943498,86.76443104,31838000
12-11-2020,86.48751831,87.58721099,86.24683654,86.44682541,26474000
13-11-2020,87.94848633,88.19016007,86.14809419,86.74458521,29744000
16-11-2020,88.03632355,89.04421118,87.40608332,87.54553261,25468000
17-11-2020,87.42245483,88.19065257,87.31477085,87.73012768,21314000
18-11-2020,86.37934875,87.58821733,86.27662453,87.17335262,20108000
19-11-2020,87.26911163,87.51326903,85.85231874,86.0116147,20106000
20-11-2020,86.16794586,87.75495402,86.09946305,87.43933791,27694000
23-11-2020,85.7302475,86.6448383,84.86776845,86.35850382,22530000
24-11-2020,87.53361511,87.66164555,85.39130129,85.72726381,27984000
25-11-2020,87.54503632,87.85519288,86.76245134,87.72766219,19600000
27-11-2020,88.68094635,89.17670461,87.56537479,87.56537479,14790000
30-11-2020,87.06218719,88.34945806,86.73664397,88.11671949,32418000
01-12-2020,89.09481049,90.40292734,87.49043208,87.67057425,37350000
02-12-2020,90.56421661,90.94980722,88.58914192,89.09481974,29424000
03-12-2020,90.40888977,91.50013942,90.1687002,90.34437479,24728000
04-12-2020,90.50418091,90.78902366,89.99948745,90.3285063,20544000
07-12-2020,90.17019653,90.77859855,89.47594113,90.09674638,22288000
08-12-2020,89.88733673,90.1175992,88.89235966,89.74789501,19936000
09-12-2020,88.22637177,90.73293757,87.43931935,89.83918557,31728000
10-12-2020,87.71972656,88.08397125,86.02651844,87.46911762,28688000
11-12-2020,88.07452393,88.1990863,86.97979863,87.34007541,18628000
14-12-2020,86.95598602,88.81890924,86.80065787,87.87206853,33050000
15-12-2020,87.39368439,87.53858566,86.43046501,87.33313722,21352000
16-12-2020,87.20063019,87.79216139,86.79718439,87.79216139,24676000
17-12-2020,86.37289429,87.67307576,85.90840908,87.53511818,34880000
18-12-2020,85.66374969,86.76245053,85.10695961,86.65377458,85256000
21-12-2020,86.07761383,86.19870057,84.06482215,84.81564932,33974000
22-12-2020,85.36599731,85.98085084,84.64941154,85.81807924,20370000
23-12-2020,85.7634964,86.5515409,85.41463085,85.55011233,22974000
24-12-2020,86.05776215,86.46716722,85.5709391,85.80169372,9312000
28-12-2020,88.03284454,88.67995557,86.4379009,86.59123756,27650000
29-12-2020,87.22891998,88.7529047,87.09741392,88.69137316,19726000
30-12-2020,86.16148376,87.72516941,85.75207866,87.5882038,21026000
31-12-2020,86.97485352,87.21602751,86.15355195,86.21211521,21070000
04-01-2021,85.65927887,87.46363865,84.71689827,87.34007581,37324000
05-01-2021,86.35005951,86.68651422,85.20123854,85.60766777,20360000
06-01-2021,85.49799347,86.54459001,84.16903787,84.37547824,46588000
07-01-2021,88.05171967,88.22441085,85.69055424,85.69055424,41936000
08-01-2021,89.2173996,89.29332586,87.40062132,88.19164922,35484000
11-01-2021,87.15598297,88.54995355,86.95004233,88.18470935,34796000
12-01-2021,86.22003937,87.73211302,85.1754343,86.61356561,29528000
13-01-2021,86.70735931,87.16093293,85.71832651,85.71832651,23432000
14-01-2021,85.89698792,87.71475826,85.65630612,86.78775664,29212000
15-01-2021,85.73322296,86.72572393,84.94369432,85.80269773,31444000
19-01-2021,88.55441284,89.51564827,85.99177463,86.49646052,41660000
20-01-2021,93.2985611,94.27369142,90.29326846,90.63369101,64152000
21-01-2021,93.5010376,95.87956596,93.26581534,93.97248165,58634000
22-01-2021,93.91838074,94.5054444,93.12140106,93.86379288,32744000
25-01-2021,94.0037384,95.37041879,92.26090989,94.91982096,50586000
26-01-2021,94.68210602,95.06918077,93.10304123,93.59234043,31462000
27-01-2021,90.26499176,93.31842119,89.19011294,93.04250601,82512000
28-01-2021,91.9651413,93.69159106,90.86346464,90.86346464,55278000
29-01-2021,90.68282318,91.68425931,89.40250362,91.01332618,44530000
01-02-2021,93.94369507,95.05876695,91.53786911,91.53786911,40252000
02-02-2021,95.23641968,96.73757429,94.6036958,94.93916614,66332000
03-02-2021,102.17202,104.5411208,99.92251415,102.5059986,97882000
04-02-2021,101.9114838,102.6891013,100.9919257,102.2583578,48596000
05-02-2021,103.658287,104.0111204,101.7313486,102.2057609,29866000
